row,  0,1,2,3,4,5,6,7,8
    0,8,5,3,1,0,6,7,2,4
    1,4,2,7,5,8,3,1,0,6
    2,6,1,0,2,4,7,8,3,5
    3,5,0,1,3,6,4,2,8,7
    4,7,8,6,0,2,5,4,1,3
    5,2,3,4,7,1,8,5,6,0
    6,0,6,8,4,7,2,3,5,1
    7,3,7,2,6,5,1,0,4,8
    8,1,4,5,8,3,0,6,7,2
